Código;Cant. por caja
111026;100
111221;100
111222;100
111223;100
111224;100
111225;100
1114022;40
1114023;40
1114024;40
1114025;40
1114026;40
111421;100
111422;100
111423;100
111424;100
111425;100
111721;100
111722;100
111723;100
111724;100
111725;100
1121021;20
1121022;20
1121023;20
1121024;20
1121025;20
113;100
1130421;40
1130422;40
1130423;40
1130424;40
1130425;40
1130426;40
1140221;15
1140222;15
1140223;15
1140224;15
1140225;15
1140226;15
1140421;15
1140422;15
1140423;15
1140424;15
1140425;15
1140426;15
1140821;15
1140822;15
1140823;15
1140824;15
1140825;15
1140826;15
1140921;15
1140922;15
1140923;15
1140924;15
1140925;15
1140926;15
1150421;25
1150422;25
1150423;25
1150424;25
1150425;25
1150426;25
1150427;25
1150521;25
1150522;25
1150523;25
1150524;25
1150525;25
1150526;25
1150527;25
1153421;25
1153422;25
1153423;25
1153424;25
1153425;25
1153426;25
1154021;25
1154022;25
1154023;25
1154024;25
1154025;25
1154026;25
1160421;25
1160422;25
1160423;25
1160424;25
1160425;25
1160426;25
1160427;25
1161421;25
1161422;25
1161423;25
1161424;25
1161425;25
1161426;25
1161427;25
1170421;20
1170422;20
1170423;20
1170424;20
1170425;20
1170426;20
1180321;50
1180322;50
1180323;50
1180324;50
1180325;50
1183121;50
1183122;50
1183123;50
1183124;50
1183125;50
1183221;50
1183222;50
1183223;50
1183224;50
1183225;50
1183226;50
1190321;25
1190322;25
1190323;25
1190324;25
1190325;25
1190326;25
1193121;25
1193122;25
1193123;25
1193124;25
1193125;25
1193221;25
1193222;25
1193223;25
1193224;25
1193225;25
1193226;100000
1200221;50
1200222;50
1200223;50
1200224;50
1200225;50
1200226;50
1200321;50
1200322;50
1200323;50
1200324;50
1200325;50
1200326;50
1200421;50
1200422;50
1200423;50
1200424;50
1200425;50
1200426;50
1200521;50
1200522;50
1200523;50
1200524;50
1200525;50
1200526;50
1200821;50
1200822;50
1200823;50
1200824;50
1200825;50
1200826;50
1201021;50
1201022;50
1201023;50
1201024;50
1201025;50
1201026;50
1203221;50
1203222;50
1203223;50
1203224;50
1203225;50
1203226;50
1210321;25
1210322;25
1210323;25
1210324;25
1210325;25
1210326;25
1210421;25
1210422;25
1210423;25
1210424;25
1210425;25
1210426;25
1211021;25
1211022;25
1211023;25
1211024;25
1211025;25
1211026;25
1223321;25
1223322;25
1223323;25
1223324;25
1223325;25
1223326;25
1240320;50
1240321;50
1240322;50
1240323;50 / 100
1240324;50
1240325;50
1240326;50
1240327;50
1240420;50
1240421;50
1240422;50
1240423;50
1240424;50
1240425;50
1240426;50
1240427;50
1241020;50 / 100
1241021;50
1241022;50
1241023;50
1241024;50
1241025;50 / 100
1241027;50
1260320;25
1260321;25
1260322;25
1260323;25
1260324;25
1260325;25
1260326;25
1260327;25
1260420;25
1260421;25
1260422;25
1260423;25
1260424;25
1260425;25
1260426;25
1260427;25
1263120;25
1263121;25
1263122;25
1263123;25
1263124;25
1263125;25
1263126;25
1263127;25
1263220;25
1263221;25
1263222;25
1263223;25 / 50
1263224;25
1263225;25
1263226;25
1263227;25
1300221;40
1300222;40
1300223;40
1300224;40
1300225;40
1300226;40
1300321;40
1300322;40
1300323;40
1300324;40
1300325;40
1300326;40
1300421;40
1300422;40
1300423;40
1300424;40
1300425;40
13004401;20
13004402;20
13004403;20
13004404;20
13004405;20
13004406;20
13004500;20
13004501;20
13004502;20
13004503;20
13004504;20
13004505;20
13004506;20
1300525;40
1300621;40
1300622;40
1300623;40
1300624;40
1300625;40
1300626;40
1300721;40
1300722;40
1300723;40
1300724;40
1300725;40
1300726;40
1300821;40
1300822;40
1300823;40
1300824;40
1300825;40
1300826;40
1301021;40
1301022;40
1301023;40
1301024;40
1301025;40
1301026;40
13010400;10
13010401;10
13010402;10
13010403;10
13010404;10
13010405;10
13010500;10
13010501;10
13010502;10
13010503;10
13010504;10
13010505;10
13010506;20
13011400;10
13011401;10
13011402;10
13011403;10
13011404;10
13011405;10
13020400;10
13020401;10
13020402;10
13020403;10
13020404;10
13020405;10
13020406;10
13020500;10
13020501;10
13020502;10
13020503;10
13020504;10
13020505;10
13020506;10
13021400;10
13021401;10
13021402;10
13021403;10
13021404;10
13021405;10
13021406;10
13030400;10
13030401;10
13030402;10
13030403;10
13030404;10
13030405;10
13030500;10
13030501;10
13030502;10
13030503;10
13030504;10
13030505;10
13030700;10
13030701;10
13030702;10
13030703;10
13030704;10
13030705;10
130321;100
130322;100
130323;100
130324;100
130325;100
13033500;10
13033501;10
13033502;10
13033503;10 / 20
13033504;10
13033505;10
13040400;10
13040401;10
13040402;10
13040403;10
13040404;10
13040405;10
13040406;10
13040500;10
13040501;10
13040502;10
13040503;10
13040504;10
13040505;10
13040506;10
13040700;10
13040701;10
13040702;10
13040703;10
13040704;10
13040705;10
13040706;10
130421;100
130424;100
13043500;10
13043501;10
13043502;10
13043503;10
13043504;10
13043505;10
13043506;10
13050700;20
13050701;20
13050702;20
13050703;20
13050704;20
13050705;20
